unit,items,value_count,average_placement
TFT14_Overlord,,2144,4.5
TFT14_Poppy,"None, None, None",1949,4.56
TFT14_Renekton,"HextechGunblade, Quicksilver, SwiftEmblemItem",34,3.79
TFT14_Renekton,"None, None, None",1822,4.68
TFT14_Rengar,"None, None, None",2116,4.48
TFT14_Rhaast,"None, None, None",2051,4.49
TFT14_Samira,"None, None, None",1883,4.6
TFT14_Sejuani,"FrozenHeart, None, None",21,3.9
TFT14_Sejuani,"None, None, None",1604,4.58
TFT14_Sejuani,"None, None, SejuaniCyberneticItem",12,4.92
TFT14_Senna,"None, None, None",2065,4.49
TFT14_Seraphine,"None, None, None",2075,4.49
TFT14_Shaco,"None, None, None",2096,4.5
TFT14_Shyvana,"None, None, None",1997,4.49
TFT14_Skarner,"None, None, None",2121,4.49
TFT14_StreetDemon,,2144,4.5
TFT14_Strong,,2144,4.5
TFT14_Suits,,2144,4.5
TFT14_SummonLevel2,None,2119,4.48
TFT14_SummonLevel2,ChromeCounter,25,6.32
TFT14_SummonLevel4,ChromeCounter,80,4.49
TFT14_SummonLevel4,None,2064,4.5
TFT14_Summon_Turret,None,2136,4.5
TFT14_Supercharge,,2144,4.5
TFT14_Swift,,2144,4.5
TFT14_Sylas,"None, None, None",2072,4.5
TFT14_Techie,,2144,4.5
TFT14_Thirsty,,2144,4.5
TFT14_TwistedFate,"None, None, None",2038,4.49
TFT14_TwistedFate,"ArchangelsStaff, GuinsoosRageblade, HextechGunblade",25,4.52
TFT14_Urgot,"None, None, None",1930,4.55
TFT14_Vanguard,,2144,4.5
TFT14_Varus,"Morellonomicon, NaafiriCyberneticItem, StatikkShiv",20,3.65
TFT14_Varus,"NaafiriCyberneticItem, RapidFireCannon, StatikkShiv",21,4.05
TFT14_Varus,"None, None, None",1962,4.51
TFT14_Vayne,"None, None, None",2104,4.51
TFT14_Veigar,"None, None, None",2093,4.51
TFT14_Vex,"BlueBuff, HextechGunblade, PowerGauntlet",108,4.13
TFT14_Vex,"None, None, None",1845,4.51
TFT14_Vi,"None, None, None",2125,4.5
TFT14_Viego,"GuardianAngel, None, None",12,3.5
TFT14_Viego,"None, None, None",1960,4.57
TFT14_ViegoUniqueTrait,,2144,4.5
TFT14_Virus,,2144,4.5
TFT14_Xayah,"InfinityEdge, LastWhisper, SpearOfShojin",17,3.76
TFT14_Xayah,"InfinityEdge, PowerGauntlet, SpearOfShojin",31,3.77
TFT14_Xayah,"None, None, None",1785,4.52
TFT14_Xayah,"InfinityEdge, MadredsBloodrazor, PowerGauntlet",15,4.8
TFT14_Yuumi,"None, None, None",1883,4.5
TFT14_Yuumi,"BlueBuff, HextechGunblade, JeweledGauntlet",24,4.54
TFT14_Zac,"BrambleVest, DragonsClaw, WarmogsArmor",12,2.92
TFT14_Zac,"None, None, None",1753,4.71
TFT14_Zed,"None, None, None",2016,4.48
TFT14_Zed,"GuardianAngel, InfinityEdge, UnstableConcoction",17,4.53
TFT14_Zeri,"GuinsoosRageblade, HextechGunblade, ZeriCyberneticItem",14,4.0
TFT14_Zeri,"None, None, None",1924,4.48
TFT14_Zeri,"GuinsoosRageblade, GuinsoosRageblade, ZeriCyberneticItem",16,5.25
TFT14_Ziggs,"None, None, None",2021,4.51
TFT14_Zyra,"None, None, None",2062,4.51
